pathname,timestamp,arousal,valence,emotion_sentence,familiarity_rating,participant_id,film,composer,song_name,year,soundtrack,director,genre,ISRC,num_timestamps,timestamp_order,emotion_subsentence,split_emotion_sentence,matched_keyword_clean,emotion_group_id,file_path
/audioFolder10//film-score-emotion-survey/audioFolder10/Walking_Home_Andre_Matthias_The_Gravedigger's_Wife_sample_1.mp3,1.60533333333333,0.158,0.66,"a curious feeling. the second marker makes it feel like the beginning of an adventure, an unknown feeling with apprehension.",familiar,_0sca4vavd,The Gravedigger's Wife,Andre Matthias,Walking Home,2021,0,Khadar Ayderus Ahmed,Drama,GBMEZ2152235,1,1,a curious feeling. the,a curious. second marker makes it,curious,6.0,walkinghomeandrematthiasthegravediggerswifesample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/Walking_Home_Andre_Matthias_The_Gravedigger's_Wife_sample_1.mp3,10.009403020557,0.168,-0.315,"a curious feeling. the second marker makes it feel like the beginning of an adventure, an unknown feeling with apprehension.",familiar,_0sca4vavd,The Gravedigger's Wife,Andre Matthias,Walking Home,2021,0,Khadar Ayderus Ahmed,Drama,GBMEZ2152235,1,2,"marker makes it feel like the beginning of an adventure, an unknown feeling with apprehension","beginning n adventure, an unknown with apprehension.",adventure,2.0,walkinghomeandrematthiasthegravediggerswifesample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/What_This_Mission's_About__Da_5_Bloods_Terence_Blanchard_sample_2.mp3,1.68,0.364,0.358,"Accomplished, awake and alive! ",never-heard-this,_y2vhjrnid,Da 5 Bloods,Terence Blanchard,What This Mission's About,2020,0,Spike Lee,Adventure Drama War,QZ8BZ2000170,1,1,"Accomplished, awake and alive! ","Accomplished,",accomplished,8.0,whatthismissionsaboutda5bloodsterenceblanchardsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/What_This_Mission's_About__Da_5_Bloods_Terence_Blanchard_sample_2.mp3,5.0,0.534,0.388,"Accomplished, awake and alive! ",never-heard-this,_y2vhjrnid,Da 5 Bloods,Terence Blanchard,What This Mission's About,2020,0,Spike Lee,Adventure Drama War,QZ8BZ2000170,1,2,awake and alive,awake,awake,2.0,whatthismissionsaboutda5bloodsterenceblanchardsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/What_This_Mission's_About__Da_5_Bloods_Terence_Blanchard_sample_2.mp3,7.3531909882552,-0.181,0.008,"Accomplished, awake and alive! ",never-heard-this,_y2vhjrnid,Da 5 Bloods,Terence Blanchard,What This Mission's About,2020,0,Spike Lee,Adventure Drama War,QZ8BZ2000170,1,3,awake and alive,Awake,awake,2.0,whatthismissionsaboutda5bloodsterenceblanchardsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/What_This_Mission's_About__Da_5_Bloods_Terence_Blanchard_sample_2.mp3,9.64,0.472,0.363,"Accomplished, awake and alive! ",never-heard-this,_y2vhjrnid,Da 5 Bloods,Terence Blanchard,What This Mission's About,2020,0,Spike Lee,Adventure Drama War,QZ8BZ2000170,1,4,awake and alive,alive!,alive,2.0,whatthismissionsaboutda5bloodsterenceblanchardsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/What_This_Mission's_About__Da_5_Bloods_Terence_Blanchard_sample_2.mp3,13.3386666666667,0.577,0.368,"Accomplished, awake and alive! ",never-heard-this,_y2vhjrnid,Da 5 Bloods,Terence Blanchard,What This Mission's About,2020,0,Spike Lee,Adventure Drama War,QZ8BZ2000170,1,5,awake and alive,alive!,alive,2.0,whatthismissionsaboutda5bloodsterenceblanchardsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/What_This_Mission's_About__Da_5_Bloods_Terence_Blanchard_sample_2.mp3,14.4266666666667,-0.065,0.003,"Accomplished, awake and alive! ",never-heard-this,_y2vhjrnid,Da 5 Bloods,Terence Blanchard,What This Mission's About,2020,0,Spike Lee,Adventure Drama War,QZ8BZ2000170,1,6,awake and alive,alive!,alive,2.0,whatthismissionsaboutda5bloodsterenceblanchardsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/Whiplash_Overture_Justin_Hurwitz_sample_1.mp3,6.49920066726906,0.703,-0.265,false input,familiar-feeling-not-familiar,_za13pvot1,Whiplash,Justin Hurwitz,Overture,2014,0,Damien Chazelle,Drama Music,US3M51428602,1,1,false input,false input,,,whiplashoverturejustinhurwitzsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/Working_The_Boulder_Problem_Marco_Beltrami_Free_Solo_sample_1.mp3,3.14289828977582,-0.376,-0.916,Sudden jump from background/light hearted to danger,familiar,_oz57j9nkn,Free Solo,Marco Beltrami,Working The Boulder Problem,2018,0,"Jimmy Chin, Elizabeth Chai Vasarhelyi",Documentary Adventure Sport,QMQXU1800023,1,1,Sudden jump from background/light hearted to danger,Sudden jump from background/light hearted to danger,jump,5.0,workingtheboulderproblemmarcobeltramifreesolosample1mp3.mp3
"/audioFolder10//film-score-emotion-survey/audioFolder10/Yo_La_Tengo_-_I'll_Be_Around_Yo_La_Tengo,_Georgia_Hubley,_Ira_Kaplan,_James_McNew_Boyhood_sample_2.mp3",1.33866666666667,-0.654,0.452,"Overall the exerpt feels relaxed and positive, I felt very calm. The second marker shows how I realxed even more as the music when on and felt very happy. ",familiar-feeling-not-familiar,_p2k6xo9mj,Boyhood,"Yo La Tengo, Georgia Hubley, Ira Kaplan, James McNew",I'll Be Around,2014,1,Richard Linklater,Drama,USMTD1203168,1,1,Overall the exerpt feels relaxed,"exerpt relaxed positive, calm. second marker shows",calm,0.0,yolatengoillbearoundyolatengogeorgiahubleyirakaplanjamesmcnewboyhoodsample2mp3.mp3
"/audioFolder10//film-score-emotion-survey/audioFolder10/Yo_La_Tengo_-_I'll_Be_Around_Yo_La_Tengo,_Georgia_Hubley,_Ira_Kaplan,_James_McNew_Boyhood_sample_2.mp3",10.5306666666667,-0.823,0.642,"Overall the exerpt feels relaxed and positive, I felt very calm. The second marker shows how I realxed even more as the music when on and felt very happy. ",familiar-feeling-not-familiar,_p2k6xo9mj,Boyhood,"Yo La Tengo, Georgia Hubley, Ira Kaplan, James McNew",I'll Be Around,2014,1,Richard Linklater,Drama,USMTD1203168,1,2,"positive, I felt very calm. The",how I realxed even more as music when on felt happy.,happy,8.0,yolatengoillbearoundyolatengogeorgiahubleyirakaplanjamesmcnewboyhoodsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/You_Know_You're_Not_Asleep_Steven_Price_Last_Night_In_Soho_sample_1.mp3,3.70133333333333,0.0,0.0,Tense but the introduction of a voice seemed re-assuring.,familiar-feeling-not-familiar,_qibqxzg21,Last Night in Soho,Steven Price,You Know You're Not Asleep,2021,0,Edgar Wright,Drama Horror Mystery,USQ4E2100824,1,1,Tense but the introduction of a voice seemed re-assuring,Tense but re-assuring,tense,3.0,youknowyourenotasleepstevenpricelastnightinsohosample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/You_Know_You're_Not_Asleep_Steven_Price_Last_Night_In_Soho_sample_1.mp3,5.71808960952825,0.109,-0.043,Tense but the introduction of a voice seemed re-assuring.,familiar-feeling-not-familiar,_qibqxzg21,Last Night in Soho,Steven Price,You Know You're Not Asleep,2021,0,Edgar Wright,Drama Horror Mystery,USQ4E2100824,1,2,Tense but the introduction of a voice seemed re-assuring,Tense but re-assuring,tense,3.0,youknowyourenotasleepstevenpricelastnightinsohosample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/You_Know_You're_Not_Asleep_Steven_Price_Last_Night_In_Soho_sample_1.mp3,7.63466666666667,0.599,-0.363,Tense but the introduction of a voice seemed re-assuring.,familiar-feeling-not-familiar,_qibqxzg21,Last Night in Soho,Steven Price,You Know You're Not Asleep,2021,0,Edgar Wright,Drama Horror Mystery,USQ4E2100824,1,3,Tense but the introduction of a voice seemed re-assuring,Tense but re-assuring,tense,3.0,youknowyourenotasleepstevenpricelastnightinsohosample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/You_Know_You're_Not_Asleep_Steven_Price_Last_Night_In_Soho_sample_1.mp3,10.568,0.704,-0.658,Tense but the introduction of a voice seemed re-assuring.,familiar-feeling-not-familiar,_qibqxzg21,Last Night in Soho,Steven Price,You Know You're Not Asleep,2021,0,Edgar Wright,Drama Horror Mystery,USQ4E2100824,1,4,Tense but the introduction of a voice seemed re-assuring,Tense but re-assuring,tense,3.0,youknowyourenotasleepstevenpricelastnightinsohosample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/You_Know_You're_Not_Asleep_Steven_Price_Last_Night_In_Soho_sample_1.mp3,13.784,0.814,0.202,Tense but the introduction of a voice seemed re-assuring.,familiar-feeling-not-familiar,_qibqxzg21,Last Night in Soho,Steven Price,You Know You're Not Asleep,2021,0,Edgar Wright,Drama Horror Mystery,USQ4E2100824,1,5,of a voice seemed re-assuring.,Tense but re-assuring,tense,3.0,youknowyourenotasleepstevenpricelastnightinsohosample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/Zara_Larsson_-_Invisible_Klaus_sample_1.mp3,2.96411814345992,0.715,0.0,"Overall the excerpt has high energy but the lyrics have a negative connotation. The first marker indicates where the singer comes in and makes the song seem sad. The second marker indicates where it holds slightly less energy but the vocalisation feels atmospheric, giving me a relaxed feeling. ",never-heard-this,_q51241jcy,Klaus,Zara Larsson,Invisible,2019,1,"Sergio Pablos, Carlos Martínez López",Animation Adventure Comedy,USSM11912727,1,1,Overall the excerpt has high energy,has high energy but lyrics have a negative connotation. first marker s where singer comes in makes,high\ energy,,zaralarssoninvisibleklaussample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/Zara_Larsson_-_Invisible_Klaus_sample_1.mp3,10.4421265822785,0.55,-0.185,"Overall the excerpt has high energy but the lyrics have a negative connotation. The first marker indicates where the singer comes in and makes the song seem sad. The second marker indicates where it holds slightly less energy but the vocalisation feels atmospheric, giving me a relaxed feeling. ",never-heard-this,_q51241jcy,Klaus,Zara Larsson,Invisible,2019,1,"Sergio Pablos, Carlos Martínez López",Animation Adventure Comedy,USSM11912727,1,2,the lyrics have a negative connotation. The,"song seem sad. second marker s where it holds slightly less energy but vocalisation atmospheric, giving me a relaxed.",relaxed,0.0,zaralarssoninvisibleklaussample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/aaronburrsir_hamilton_sample_1.mp3,3.88651684890797,0.364,-0.188,"I know this song, so the first marker is where I realised that I recognised it, and the tone is quite eerie but intriguing. The second marker makes me feel excited to hear more. The third marker feels even more exciting and tense.",never-heard-this,_iwnx3dty6,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Aaron Burr Sir,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502597,1,1,"I know this song, so the","I know this song, so first marker is where I realised that I recognised",,,aaronburrsirhamiltonsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/aaronburrsir_hamilton_sample_1.mp3,9.93335450867081,0.544,0.082,"I know this song, so the first marker is where I realised that I recognised it, and the tone is quite eerie but intriguing. The second marker makes me feel excited to hear more. The third marker feels even more exciting and tense.",never-heard-this,_iwnx3dty6,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Aaron Burr Sir,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502597,1,2,"marker is where I realised that I recognised it,","it, tone is quite eerie but intriguing. second marker makes me",eerie,6.0,aaronburrsirhamiltonsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/aaronburrsir_hamilton_sample_1.mp3,11.4980417244493,0.604,0.362,"I know this song, so the first marker is where I realised that I recognised it, and the tone is quite eerie but intriguing. The second marker makes me feel excited to hear more. The third marker feels even more exciting and tense.",never-heard-this,_iwnx3dty6,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Aaron Burr Sir,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502597,1,3,the tone is quite eerie,excited to hear more. third marker even more exciting tense.,excited,2.0,aaronburrsirhamiltonsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/aaronburrsir_hamilton_sample_1.mp3,8.52262138937778,0.0,0.0,Epic. It makes me feel like we're about to witness history.,definitely-familiar,_qrc1rvm7l,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Aaron Burr Sir,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502597,1,1,It makes me feel like we're about to witness history,Epic.,epic,2.0,aaronburrsirhamiltonsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/aaronburrsir_hamilton_sample_1.mp3,9.96376436484108,0.856,0.216,Epic. It makes me feel like we're about to witness history.,definitely-familiar,_qrc1rvm7l,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Aaron Burr Sir,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502597,1,2,It makes me feel like we're about to witness history.,we're about to witness history.,epic,2.0,aaronburrsirhamiltonsample1mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/alexander-hamilton_Hamilton_sample_2.mp3,4.31466666666667,0.018,0.002,"The excerpt sets the scene, keeping the listener interested - and then explodes into life, and I get the impression the narrator's energy stems from feelings of anger. ",definitely-familiar,_3g7glzy1o,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,1,"The excerpt sets the scene, keeping the listener interested -","sets scene, keeping listener interested - n explodes into",life,0.0,alexanderhamiltonhamiltonsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/alexander-hamilton_Hamilton_sample_2.mp3,11.9573333333333,0.732,-0.553,"The excerpt sets the scene, keeping the listener interested - and then explodes into life, and I get the impression the narrator's energy stems from feelings of anger. ",definitely-familiar,_3g7glzy1o,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,2,"explodes into life,","life, I get impression narrator's energy stems from nger.",life,0.0,alexanderhamiltonhamiltonsample2mp3.mp3
/audioFolder10//film-score-emotion-survey/audioFolder10/alexanderhamilton_hamilton_sample_1.mp3,1.15384615384615,0.0,0.0,You could tell that there would have been a dramatic scene accompanying this and therefore it mad me feel on edge.,never-heard-this,_eju6op5qu,Hamilton, Lin-Manuel Miranda / Cast of Hamilton ,Alexander Hamilton,2020,1,Thomas Kail,Biography Drama History Musical,USAT21502596,1,1,You could tell that there,You could tell that re would,dramatic,3.0,alexanderhamiltonhamiltonsample1mp3.mp3
